,text,topic,sentiment,prediction
0,#badenwürttemberg führt zum Jahresbeginn eine #Solardach-Pflicht bei Dachsanierungen ein. Was Eigentümer jetzt wissen müssen\n#Energiewende #Energiekrise #Strom #Strpoomausfall #Blackout #Gesetz \nhttps://t.co/Mi32zusc9o,Energiewende,neutral,- 'Energiewende' - 'Energiewende' - 'Energiewende' - 
1,"Trotz der #Inflation hat sich die Zahlungsmoral kaum verschlechtert, beobachten die deutschen #Inkasso-Unternehmen. Grund sei auch die niedrige Arbeitslosigkeit. https://t.co/i3ZSHN3Wqd",Wirtschaft,positiv,np.read(tweet)
2,"Können wir Ackerflächen doppelt nutzen, um Solarstrom zu erzeugen? \n#energiewende #energiewendeerklärt \n\nhttps://t.co/OIklIpLiUY",Energiewende,positiv,"'Energiewende', 'Energiewende', 'Energiewende', 'Energiewende',"
3,"Wir müssen Energie sparen? Das gilt offenbar nicht für #Schneekanonen.  Auch wenns komplett sinnlos ist: Speichersee leer, Schnee geschmolzen. Die vorangegangene Naturzerstörung hat der #Heimat-Romantiker und #Klimakatastrophe-Relativierer #Aiwanger mit Steuergeld subventioniert https://t.co/Zp5617vxpF",Energiewende,negativ,"n = n.read_csv('%d', 'Energiewende', 'Energie"
4,Wie Putins Angriffskrieg die Ukraine stark gemacht hat https://t.co/6L6dmGLDWA,Ukraineunterstützung,neutral,t.co.uk
5,"#Lambrecht ja zeit zu gehen,#Scholz sollte ihr folgen \n#Habeck übernimmt das \n#Kanzleramt \nDas wäre ein \nBefreiungsschlag\n für #Deutschland\nUnter der #Regierung von Scholz  ist kaum tragbar !\nOberste #Priorität  gilt es den #Krieg zu beenden!\nScholz ist ein \n#Träumer",Ukraineunterstützung,negativ,"'Die 'Migration', 'Demokratie', 'Demokratie',"
6,Ob #Links-#Gruene Parteibonzen auch von #Strom-Abschaltung betroffen sein werden? #Stromabschaltung #Katastrophenschutz #Stromproblem #stromausfaelle #Stromausfälle https://t.co/5VmtDW8hcR,Energiewende,negativ,t.co.info
7,"#Gasspeicher zu 99,55% gefüllt.\nAb 1. Dezember geht das erste Flüssiggasterminal in Betrieb und das wird die Hysterie um den Gasmangel weiter dämpfen.\nDesto weniger #Gas wir verbrauchen, desto weniger #Frackinggas brauchen wir. https://t.co/mGVPZXDA1o",Energiewende,positiv,n = n.readline() n = n.readline() n =
8,"Flüchtlinge beziehen Berliner Pflegeheim, Über-90-Jährige werden unter Tränen ausquartiert. „Skandalös“, sagt @Birgit_Kelle und @PatricHeizmann warnt vor wachsendem Politikverdruss. 👉🏻📺 https://t.co/9Rc9XYsSBD #Habeck #Gruene #altenheim #Fluechtlinge https://t.co/3fVhfwHbdF",Migration,negativ,"'Fluechtlinge', 'Demokratie', 'Demokratie', '"
9,Die #Energiewende muss neu gedacht werden. https://t.co/v2Ew93Hnmy,Energiewende,neutral,t.co.info
10,Der Bund übernimmt jetzt Uniper. Bezahlen müssen es die Bürger. #Habeck muss weg! #Steuergeldverschwendung ⬇️ https://t.co/CyMKX7bgAt,Wirtschaft,negativ,t.co.uk.
11,Der FDP faellt nichts anderes ein als Frecking und Zinsen.\nInflation ist in Spanien deutlich niedriger als in Deutschland Fragt euch mal warum ihr Schlauberger. Lindner wird von dt. TOP Oekonomen beraten.Lindner rechnet mit Inflation wie 2022.\nhttps://t.co/I7pS1JaHTW,Wirtschaft,negativ,"'Inflation', 'Demokratie', 'Demokratie', 'Demokrati"
12,Politiker fordert: „Kein Bargeld mehr für Flüchtlinge!“ | Nena Brockhaus... https://t.co/XJmEwTCsIA via @YouTube,Migration,neutral,"'Facebook', 'Facebook', 'Demokratie', 'Demokratie',"
13,Die Sanktionen gegen Russland wirken auch in Österreich. Danke Brüssel! 😱 https://t.co/S3D8WXEB1p,Ukraineunterstützung,negativ,np.twitter.com/quickinfo/quickinfo/quickinfo/quickinfo/quickinfo/quick
14,"Nein, es ist die beharrlicher Schikane der Parteien, die lieber Lehrer, Beamte und andere Untertanen haben wollen. https://t.co/HOH6gphO12",Demokratie,negativ,n = n.read_tweet(n) n = n.read_tweet(
15,"Waffenlieferungen an Bedingungen in Richtung Dritten zu knüpfen, um sie einer geschundenen und ums Überleben kämpfende #Ukraine vor zu enthalten, ist so etwas von niederträchtig und armselig. Wie tief kann man als Mensch sinken, Herr @Bundeskanzler? Wie tief noch?",Ukraineunterstützung,positiv,"'Ukraine', 'Migration', 'Demokratie', 'Demokratie"
